MNL,DXB
MNL,HKG
MNL,ICN
MNL,KIX
MNL,KUL
BKK,MNL
CAN,MNL
CGK,MNL
DXB,MNL
HKG,MNL
ICN,MNL
KIX,MNL
KUL,MNL
NRT,MNL
PEK,MNL
PVG,MNL
SGN,MNL
SIN,MNL
TPE,MNL
XMN,MNL
MNL,NRT
MNL,PEK
MNL,PVG
MNL,SGN
MNL,SIN
MNL,TPE
MNL,XMN
DEL,BKK
DEL,BOM
DXB,BOM
MAA,BOM
MCT,BOM
BKK,DEL
BOM,DEL
DXB,DEL
MAA,DEL
BOM,DXB
DEL,DXB
MAA,DXB
BOM,MAA
DEL,MAA
DXB,MAA
SIN,MAA
BOM,MCT
MAA,SIN
TLV,FCO
TLV,NCE
FCO,TLV
NCE,TLV
LED,DME
DME,LED
TFS,RIX
RIX,TFS
ICN,BKK
ICN,HKG
BKK,ICN
HKG,ICN
KIX,ICN
MNL,ICN
NRT,ICN
TAO,ICN
ICN,KIX
ICN,MNL
ICN,NRT
ICN,TAO
KIX,HND
HND,KIX
CKG,BKK
ICN,BKK
BKK,CKG
BKK,ICN
KMG,CGO
KMG,CKG
FOC,CSX
KMG,CSX
NKG,CSX
KMG,CTU
TSN,CTU
TSN,DLC
WUH,DLC
CSX,FOC
NNG,FOC
KMG,HAK
KMG,HGH
CGO,KMG
CKG,KMG
CSX,KMG
CTU,KMG
HAK,KMG
HGH,KMG
KWE,KMG
KWL,KMG
NNG,KMG
PEK,KMG
PVG,KMG
SYX,KMG
TNA,KMG
TYN,KMG
WUH,KMG
XIY,KMG
KMG,KWE
NKG,KWE
SIN,KWE
KMG,KWL
XMN,KWL
CSX,NKG
KWE,NKG
FOC,NNG
KMG,NNG
KMG,PEK
KMG,PVG
KWE,SIN
KMG,SYX
WUH,TAO
KMG,TNA
CTU,TSN
DLC,TSN
KMG,TYN
DLC,WUH
KMG,WUH
TAO,WUH
KMG,XIY
KWL,XMN
IST,AYT
SVO,AYT
IST,CDG
AYT,IST
CDG,IST
AYT,SVO
PVG,BKK
SHA,CAN
PVG,CKG
SHA,CKG
SHA,CSX
SHA,CTU
HGH,DLC
PVG,DLC
DLC,HGH
KWL,HGH
SHE,HGH
SYX,HGH
SZX,HGH
PVG,HKG
PVG,HRB
PVG,KIX
PVG,KMG
SHA,KMG
SHA,KWE
HGH,KWL
PVG,KWL
SHE,NKG
SHA,NNG
BKK,PVG
CKG,PVG
DLC,PVG
HKG,PVG
HRB,PVG
KIX,PVG
KWL,PVG
NNG,PVG
SHE,PVG
SIN,PVG
SYX,PVG
TAO,PVG
TPE,PVG
XMN,PVG
CAN,SHA
CKG,SHA
CSX,SHA
CTU,SHA
KMG,SHA
KWE,SHA
SYX,SHA
SZX,SHA
TAO,SHA
URC,SHA
