NAME,YEAR,STNELEV,LATITUDE,LONGITUDE,TEMP
PIERRE_RGNL_AP,1942,531.0,44.3814,-100.2856,-4.67
PRAIRIE_DU_CHIEN,1942,200.6,43.0514,-91.135,-7.14
ROCHESTER_INTL_AP,1942,397.5,43.9042,-92.4917,-8.19
SAINT_JOHNSBURY,1942,213.4,44.42,-72.0194,-9.34
SAN_DIEGO_LINDBERGH_FLD,1942,4.6,32.7336,-117.1831,13.47
SAULT_STE_MARIE,1942,192.0,46.4867,-84.4089,-9.82
SAULT_STE_MARIE_SANDERSON_FLD,1942,220.1,46.4794,-84.3572,-9.39
SAVANNAH_INTL_AP,1942,14.0,32.13,-81.21,10.06
SHERIDAN_CO_AP,1942,1202.4,44.7694,-106.9689,-4.97
SIOUX_FALLS,1942,435.9,43.5878,-96.7289,-6.34
SPRINGFIELD_CAPITAL_AP,1942,181.1,39.8447,-89.6839,-2.44
ST_CLOUD_RGNL_AP,1942,310.3,45.5433,-94.0514,-8.26
TIMBER_LAKE,1942,658.4,45.4283,-101.0764,-6.12
TRIBUNE_1W,1942,1108.3,38.4661,-101.7758,-3.23
WATERTOWN_RGNL_AP,1942,532.8,44.9047,-97.1494,-7.88
WAYNESVILLE_1_E,1942,810.2,35.4867,-82.9683,1.1
ALMA_BACON_CO_AP,1943,58.8,31.5358,-82.5067,11.37
BISMARCK,1943,505.4,46.7708,-100.7603,-18.2
BOSTON_LOGAN_INTL_AP,1943,3.7,42.3606,-71.0106,-4.2
BRISTOL_TRI_CITY_AP,1943,457.2,36.4731,-82.4044,4.6
BUTTE_BERT_MOONEY_AP,1943,1678.2,45.9647,-112.5006,-12.75
CHANUTE_MARTIN_JOHNSON_AP,1943,300.2,37.6703,-95.4842,-1.11
CHEYENNE,1943,1867.8,41.1519,-104.8061,-2.59
CHICAGO_MIDWAY_AP_3SW,1943,189.0,41.7372,-87.7775,-4.38
CLEVELAND,1943,232.6,41.4131,-81.86,-2.9
CONCORDIA_MUNI_AP,1943,447.8,39.5514,-97.6508,-3.84
CONCORD_MUNI_AP,1943,105.5,43.1953,-71.5011,-8.27
DES_MOINES_INTL_AP,1943,291.7,41.5339,-93.6531,-6.44
ELY_YELLAND_FLD_AP,1943,1908.7,39.2953,-114.8467,-3.43
EVANSVILLE_REGIONAL_AP,1943,121.9,38.0442,-87.5206,0.81
